date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-03-14,6.9,-0.73,0,-6.9,,-12,97,73,68,39,-1.6,-5.5,-5.2,-8.8,22,14.46,15.5,9,35,22,102.48,102.3,102.27,102.06,100.64,100.47,100.44,100.24,24100,24100,24100,24100,2.5,2,1.8,1,18,0,0,0,0,0,0,0,,07:29:00,1741948140,7.48,19:19:00,1741990740,19.32,11.83,4,4,8,8,-2,-2,,,,,,7,2.8,3.5,0,,,,
2025-03-13,1.5,-4.09,-3.9,-9.3,,-15,79,59.4,55,31,-8.5,-11.4,-11.3,-14.2,17,12.04,11,5,,,102.55,102.31,102.16,101.77,100.7,100.48,100.33,99.96,24100,24100,24100,24100,2.4,1.6,1.7,1,21.9,0,0,0,0,0,0,0,0,07:31:00,1741861860,7.52,19:18:00,1741904280,19.3,11.78,4,4,3,3,-9,-8,,,,,,8,3.2,4,0,,,,
2025-03-12,5.9,2.34,0.05,-5.8,,-10,100,74.7,67,34,5.4,-2.3,-3.3,-12,27,18.38,16,5,46,21,101.73,101.03,101.16,100.59,99.92,99.24,99.37,98.82,24100,20620.8,12450,800,2.6,1.6,1.8,1,17.9,0,0,0,0,2.1,2.1,0,0,07:33:00,1741775580,7.55,19:16:00,1741817760,19.27,11.72,3,4,6,7,-8,-8,,,,,,8,5.4,4,0,,,,
2025-03-11,4.1,-1.42,-1.25,-6.6,,-10,91,70.5,69,47,-0.9,-6.4,-5.9,-10.9,36,17.67,19.5,3,51,18,101.63,101.33,101.26,100.89,99.81,99.52,99.45,99.1,24100,24100,24100,24100,2.5,1.9,1.8,1,19.2,0,0,0,0,0,0,0,0,07:35:00,1741689300,7.58,19:15:00,1741731300,19.25,11.67,4,4,6,6,0,0,,,,,,8,4.2,4,0,,,,
2025-03-10,1.2,-2.29,-2.1,-5.4,,-9,95,78.8,75.5,56,-3.4,-5.7,-5.6,-7.8,23,13.25,14,5,31,28,101.26,100.71,100.83,100.4,99.45,98.91,99.03,98.61,24100,22095.8,15250,6400,2.4,2.2,2.2,2,20.1,0,0,0,0,0.2,0,0.2,0,07:37:00,1741603020,7.62,19:14:00,1741644840,19.23,11.62,3,3,3,3,-7,-7,,,,,,8,4.4,4,0,,,,
2025-03-09,-0.3,-4.18,-3.85,-7.4,,-16,84,61.3,65.5,47,-8.1,-10.8,-10.4,-12.8,33,22.43,21.5,10,49,28,100.41,99.9,99.84,99.27,98.61,98.11,98.05,97.49,24100,20887,14050,4000,2.4,2.2,2.2,2,21.9,0,0,0,0,0,0,0,3,07:38:00,1741516680,7.63,19:12:00,1741558320,19.2,11.57,3,3,1,1,-7,-7,,,,,,8,5.9,4.5,1,,,,
2025-03-08,1.7,-2.18,-2.7,-7.1,,-14,87,58.3,63,39,-5.7,-9.6,-9.1,-12.5,54,36.96,36,18,86,24,99.2,98.76,98.74,98.28,97.43,97,96.99,96.54,24100,21233.3,16900,9700,2.8,2.6,2.6,2.4,20.7,0,0,0,0,0,0,0,3,06:40:00,1741430400,6.67,18:11:00,1741471860,18.18,11.52,3,3,2,2,-8,-6,,,,,,8,7,6,4,,,,
2025-03-07,7.6,2.67,1.9,-3.8,,-13,100,93,88.5,77,7.2,1.6,0.2,-6.8,48,27,30.5,13,71,28,98.76,97.95,98.16,97.55,97.03,96.23,96.43,95.83,24100,7370.8,12250,400,2.6,2.2,2.1,1.7,16.1,0,0,0,0,7.7,6.1,1.6,0,06:42:00,1741344120,6.7,18:10:00,1741385400,18.17,11.47,1,1,3,4,-2,-2,,,,,,8,7.8,7.5,7,,,,
2025-03-06,10.2,7.89,7.5,4.8,,,100,99.1,97.5,95,9.9,7.8,6.5,3.1,42,29.88,27.5,13,73,16,101.33,100.2,100.12,98.91,99.54,98.45,98.36,97.18,19300,6787.5,9850,400,3.1,2.7,2.8,2.4,10.5,0,2.5,0.5,0,22.9,22.9,0,2,06:44:00,1741257840,6.73,18:09:00,1741298940,18.15,11.42,2,2,8,8,7,7,,,,,,8,7.6,5.5,3,,,,
2025-03-05,4.8,1.76,2.44,0.1,,,100,98.9,96.5,93,3.3,1.6,1.6,0,27,15.25,16,5,37,24,101.79,101.62,101.59,101.39,99.98,99.81,99.79,99.6,24100,7979.2,12250,400,3,2.6,2.5,2.1,15.6,0,0,0,0,2.4,2.4,0,3,06:46:00,1741171560,6.77,18:07:00,1741212420,18.12,11.35,3,3,7,7,7,7,,,,,,8,7.8,6.5,5,,,,
2025-03-04,0.9,-5.13,-6.05,-13,,-20,98,64.5,69,40,-0.2,-11.3,-8.6,-16.9,34,18.17,22.5,11,44,23,102.23,101.99,101.95,101.66,100.38,100.15,100.11,99.85,24100,22125,14050,4000,2.9,2.4,2.5,2,24.1,0,0,0,0,1.4,0,1.4,2,06:47:00,1741085220,6.78,18:06:00,1741125960,18.1,11.32,3,3,0,0,-1,-1,,,,,,8,4.7,4,0,,,,
