date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-01-15,-0.5,-4.08,-4.65,-8.8,,-12,96,88.5,86.5,77,-3.8,-5.7,-6.2,-8.5,24,11.21,14,4,46,33,100.44,100.07,100.16,99.87,99.03,98.66,98.74,98.46,16100,14829.2,11250,6400,2.6,2.1,2.1,1.7,22.6,0,0,0,0,0.6,,,,07:42:00,1736941320,7.7,16:48:00,1736974080,16.8,9.1,,,-1,-1,-5,-5,,4,3.3,2,0,,,,,,,,
2025-01-14,-3.5,-4.72,-6.1,-8.7,,-11,95,88.5,88,81,-5,-6.4,-6.2,-7.4,15,8.33,7.5,0,,,100.63,100.35,100.34,100.06,99.21,98.94,98.93,98.65,16100,12758.3,9450,2800,3.9,2.3,2.8,1.8,24.1,0,0,0,0,0,,,,07:43:00,1736854980,7.72,16:47:00,1736887620,16.78,9.07,1,1,-1,-1,-6,-4,,4,4,4,4,,,,,,,,
2025-01-13,-1.7,-3.25,-3,-4.3,,-8,97,86.9,86,75,-4.1,-5.2,-5.2,-6.4,17,9.04,8.5,0,33,33,101.12,100.93,100.91,100.7,99.7,99.51,99.49,99.28,16100,12408.3,8650,1200,2.2,2.1,2,1.8,21,0,0,0,0,0,,,,07:43:00,1736768580,7.72,16:45:00,1736801100,16.75,9.03,1,1,-1,-1,-5,-5,,4,3.7,2.5,1,,,,,,,,
2025-01-12,1.3,-2.15,-2.4,-6.1,,-10,95,89.1,86.5,78,-2.1,-3.8,-4.2,-6.2,22,12.58,13.5,5,37,35,101.02,100.37,100.39,99.77,99.6,98.96,98.99,98.37,16100,15300,12100,8100,2.2,2,2,1.9,20.4,0,0,0,0,0.2,,,,07:44:00,1736682240,7.73,16:44:00,1736714640,16.73,9,1,1,1,1,-5,-5,,4,2.5,2,0,,,,,,,,
2025-01-11,0.6,-1.52,-2.35,-5.3,,-7,97,88.2,86,75,-1.1,-3.2,-3.1,-5.1,24,12.83,14,4,46,33,100.07,99.95,99.94,99.8,98.67,98.55,98.53,98.4,16100,14691.7,10450,4800,2.3,2.2,2.1,2,20.4,0,0,0,0,0,,,,07:44:00,1736595840,7.73,16:43:00,1736628180,16.72,8.98,1,1,1,1,-3,-2,,4,3.2,3,2,,,,,,,,
2025-01-10,1.1,0.65,0.35,-0.4,,,95,89.8,88,81,0.1,-0.9,-1,-2.1,39,24.67,24,9,65,34,99.78,98.83,98.92,98.07,98.39,97.45,97.54,96.7,16100,9854.2,9050,2000,2.3,2.2,2.1,2,17.6,0,0,0,0,10,,,,07:45:00,1736509500,7.75,16:42:00,1736541720,16.7,8.95,1,1,1,1,-2,-2,,4,4,3.5,3,,,,,,,,
2025-01-09,0.9,-2.69,-2.7,-6.3,,-12,99,94.5,94.5,90,0,-3.5,-3.8,-7.5,24,16.12,16.5,9,39,30,98.08,97.99,97.98,97.88,96.7,96.61,96.6,96.5,16100,8791.7,8650,1200,2.1,1.6,1.8,1.5,20.7,0,0,0,0,2.2,,,,07:45:00,1736423100,7.75,16:41:00,1736455260,16.68,8.93,1,1,1,1,0,1,,4,4,4,4,,,,,,,,
2025-01-08,-0.5,-2.98,-3.2,-5.9,,-11,98,90.2,91.5,85,-0.4,-4.4,-3.5,-6.7,34,21.04,22.5,11,50,26,98.63,98.43,98.38,98.13,97.24,97.05,96.99,96.74,16100,13683.3,10050,4000,2.5,1.9,2,1.6,21.2,0,0,0,0,0,,,,07:45:00,1736336700,7.75,16:39:00,1736368740,16.65,8.9,,,0,0,-1,-1,,4,4,4,4,,,,,,,,
2025-01-07,0.1,-2.57,-2.15,-4.4,,-11,99,96.2,96.5,94,-0.4,-3.1,-2.5,-4.7,24,19.08,19.5,15,41,29,98.95,98.64,98.7,98.45,97.56,97.25,97.31,97.06,16100,7520.8,8850,1600,2.5,1.8,2,1.5,20.1,0,0,0,0,0,,,,07:46:00,1736250360,7.77,16:38:00,1736282280,16.63,8.87,1,1,0,0,0,0,,4,4,4,4,,,,,,,,
2025-01-06,-2.5,-3.36,-3.3,-4.1,,-14,95,91.5,92,89,-3.6,-4.6,-4.7,-5.7,50,40,39,28,84,30,99.14,98.71,98.67,98.21,97.74,97.32,97.28,96.82,16100,9625,8850,1600,2,1.8,1.8,1.7,21.3,0,0,0,0,0,,,,07:46:00,1736163960,7.77,16:37:00,1736195820,16.62,8.85,,,0,0,-3,-2,,4,4,4,4,,,,,,,,
