date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-03-14,8.3,1.2,1.8,-4.7,,-8,100,80.9,78.5,57,1,-2.1,-1.9,-4.9,24,15.88,15.5,7,31,21,102.42,102.26,102.24,102.07,101.88,101.72,101.7,101.53,24100,24100,24100,24100,,,,,16.2,0,0,0,0,0,0,0,,07:39:00,1741948740,7.65,19:29:00,1741991340,19.48,11.83,4,4,10,10,0,0,,,,,,8,4.1,4.5,1,,,,
2025-03-13,1.9,-2.33,-2.54,-7,,-12,84,55.5,56.5,29,-4.5,-10.6,-9.9,-15.4,21,13.42,13,5,38,7,102.52,102.36,102.24,101.96,101.98,101.82,101.7,101.42,24100,24100,24100,24100,,,,,20.5,0,0,0,0,0,0,0,,07:41:00,1741862460,7.68,19:28:00,1741904880,19.47,11.78,4,4,4,4,-4,-4,,,,,,8,6.2,5,2,,,,
2025-03-12,6.2,2.74,1,-4.2,,-7,100,65.5,69.5,39,6.1,-3.9,-3.9,-13.8,41,25.75,24.5,8,57,33,101.85,101.18,101.22,100.59,101.31,100.64,100.69,100.07,24100,21366.7,16900,9700,,,,,17,0,0,0,0,0,0,0,,07:43:00,1741776180,7.72,19:27:00,1741818420,19.45,11.73,4,4,4,5,-8,-8,,,,,,8,5.1,4,0,,,,
2025-03-11,7.5,2.08,1.2,-5.1,,-8,100,90.5,81.5,63,4.5,0.5,0.6,-3.3,37,23.79,20.5,4,57,22,101.46,101.19,101.08,100.7,100.93,100.65,100.55,100.17,24100,23162.5,12850,1600,,,,,16.8,0,0,0,0,0,0,0,,07:44:00,1741689840,7.73,19:25:00,1741731900,19.42,11.68,4,4,7,7,6,6,,,,,,8,3.2,4.5,1,,,,
2025-03-10,3.6,0.02,-0.14,-3.9,,-8,100,84.2,79,58,2.3,-2.6,-2.8,-7.9,32,19.17,19,6,52,27,101.42,100.86,101.02,100.63,100.88,100.33,100.49,100.1,24100,21025,13650,3200,,,,,18.1,0,0,0,0,0,0,0,,07:46:00,1741603560,7.77,19:24:00,1741645440,19.4,11.63,3,3,3,3,-4,-4,,,,,,8,5.5,4.5,1,,,,
2025-03-09,2,-0.46,-0.55,-3.1,,-12,67,57.3,59,51,-3.7,-7.9,-7.5,-11.3,44,37.35,33,22,68,32,100.61,100.27,100.16,99.71,100.08,99.74,99.63,99.18,24100,22847.8,21700,19300,,,,,18.6,0,0,0,0,0,0,0,1,07:48:00,1741517280,7.8,19:23:00,1741558980,19.38,11.58,3,3,2,2,-5,-5,,,,,,8,6,4.5,1,,,,
2025-03-08,2.7,-0.68,-0.89,-4.5,,-14,95,57.9,72,49,-1.1,-8.1,-6.3,-11.6,64,46.21,50.5,37,87,25,99.64,99.27,99.34,99.04,99.11,98.75,98.81,98.52,24100,20795.8,12450,800,,,,,18.9,0,0,0,0,0,0,0,0,06:50:00,1741431000,6.83,18:22:00,1741472520,18.37,11.53,1,3,2,2,-5,-5,,,,,,8,6.4,5.5,3,,,,
2025-03-07,7.5,1.24,2.45,-2.6,,-12,100,86.3,77,54,7.5,-1.1,-0.4,-8.4,58,39.58,34,10,88,30,99.04,98.34,98.38,97.71,98.52,97.82,97.86,97.2,19300,7500,9950,600,,,,,15.6,0,0,0,0,7.1,6.2,0.9,0,06:52:00,1741344720,6.87,18:20:00,1741386000,18.33,11.47,1,1,0,1,-3,-3,,,,,,8,8,8,8,,,,
2025-03-06,8.9,7.46,6.95,5,,,100,99.8,98.5,97,8.8,7.4,7,5.3,41,33.12,28.5,16,69,19,100.96,99.71,99.76,98.57,100.43,99.19,99.24,98.06,16100,7300,8250,400,,,,,11.1,0,2,0,0,35.8,35.8,0,0,06:53:00,1741258380,6.88,18:19:00,1741299540,18.32,11.43,1,1,8,8,4,4,,,,,,8,8,8,8,,,,
2025-03-05,7.6,4.79,5.19,2.8,,,100,99.9,99,98,6.4,4.8,4.5,2.7,37,26.54,27.5,18,53,20,101.79,101.53,101.44,101.1,101.25,101,100.91,100.57,24100,11008.3,13650,3200,,,,,12.8,0,0.2,0,0,0.8,0.8,0,1,06:55:00,1741172100,6.92,18:18:00,1741213080,18.3,11.38,4,4,7,7,7,7,,,,,,8,7.9,7,6,,,,
2025-03-04,2.9,-1.03,-1.75,-6.4,,-13,100,67.8,73,46,2.5,-6.6,-6.2,-14.8,35,25.79,25.5,16,61,24,102.4,102.13,102.11,101.81,101.85,101.59,101.56,101.27,24100,21966.7,16900,9700,,,,,19.8,0,0,0,0,4,4,0,0,06:57:00,1741085820,6.95,18:17:00,1741126620,18.28,11.33,3,3,2,2,3,3,,,,,,8,5.1,4,0,,,,
2025-03-03,-4.9,-8.47,-7.75,-10.6,,-19,79,64.5,64,49,-13,-14.1,-14.2,-15.4,34,24.33,22,10,44,33,102.14,101.92,101.83,101.52,101.59,101.37,101.28,100.98,24100,18829.2,14450,4800,,,,,25.8,0,0,0,0,0.5,0,0.5,0,06:58:00,1740999480,6.97,18:15:00,1741040100,18.25,11.28,2,2,-7,-7,-11,-11,,,,,,8,5.5,4.5,1,,,,
2025-03-02,2.5,-4.17,-3.2,-8.9,,-17,100,69.3,75.5,51,3.1,-9.2,-5.6,-14.3,41,34.88,30.5,20,61,30,101.45,100.59,100.59,99.73,100.91,100.06,100.06,99.21,24100,16016.7,14450,4800,,,,,21.2,0,0,0,0,0.8,0,0.8,0,07:00:00,1740913200,7,18:14:00,1740953640,18.23,11.23,2,2,-6,-4,-12,-12,,,,,,8,7.1,6.5,5,,,,
2025-03-01,6.2,1.56,0.7,-4.8,,-10,100,80,77.5,55,6,-1.6,-2.6,-11.3,41,26.25,22.5,4,57,17,101.07,100.47,100.35,99.63,100.54,99.94,99.83,99.11,24100,20154.2,13650,3200,,,,,17.3,0,0,0,0,0,0,0,1,07:02:00,1740826920,7.03,18:13:00,1740867180,18.22,11.18,2,2,6,6,-2,-1,,,,,,8,6.4,5,2,,,,
2025-02-28,5.6,2.78,0.34,-4.9,,-9,100,80.7,72.5,45,5.4,-0.6,-3.4,-12.2,40,29.75,29,18,60,32,100.92,99.91,100.18,99.44,100.39,99.38,99.65,98.92,24100,14112.5,12250,400,,,,,17.7,0,0,0,0,0.6,0.6,0,2,07:04:00,1740740640,7.07,18:11:00,1740780660,18.18,11.12,3,3,4,6,-6,-5,,,,,,8,2.6,4,0,,,,
2025-02-27,7.1,1.38,1.04,-5,,-9,100,91.6,87.5,75,7,0.1,1.2,-4.5,49,25.58,28,7,76,23,101.89,101.11,100.91,99.93,101.35,100.58,100.38,99.41,24100,15170.8,12850,1600,,,,,17,0,0,0,0,9.4,7.4,2,0,07:05:00,1740654300,7.08,18:10:00,1740694200,18.17,11.08,3,3,3,5,6,6,,,,,,8,5.6,4,0,,,,
2025-02-26,5.4,2.33,2.45,-0.5,,-5,100,93.9,84.5,69,5.1,1.4,0.4,-4.2,39,22.79,24,9,57,32,101.31,100.37,100.59,99.88,100.78,99.85,100.07,99.36,24100,18775,12250,400,,,,,15.6,0,0,0,0,0,0,0,0,07:07:00,1740568020,7.12,18:09:00,1740607740,18.15,11.03,3,3,6,6,-6,-6,,,,,,8,5.3,4,0,,,,
2025-02-25,7.1,3.36,4.14,1.2,,,100,85.8,81,62,3,1,1.4,-0.2,36,26.71,25,14,56,24,101.5,101.11,101.04,100.59,100.97,100.58,100.51,100.06,24100,20233.3,19300,14500,,,,,13.9,0,0,0,0,0,0,0,1,07:08:00,1740481680,7.13,18:08:00,1740521280,18.13,11,3,3,9,9,0,0,,,,,,8,7.7,6,4,,,,
2025-02-24,1.9,-0.44,-1.25,-4.4,,-7,96,71.8,72.5,49,0,-5.1,-4.1,-8.2,28,16.5,14,0,42,20,102.14,101.91,101.85,101.56,101.6,101.37,101.31,101.03,24100,23766.7,20100,16100,,,,,19.2,0,0,0,0,0,0,0,1,07:10:00,1740395400,7.17,18:06:00,1740434760,18.1,10.93,3,3,2,3,-1,-1,,,,,,8,5.4,5,2,,,,
2025-02-23,3.6,-0.42,-1.35,-6.3,,-10,89,74.2,76,63,0.5,-4.5,-4,-8.4,37,23.71,22.5,8,55,24,101.9,101.5,101.53,101.17,101.36,100.96,100.99,100.63,24100,22833.3,17700,11300,,,,,19.4,0,0,0,0,0,0,0,1,07:12:00,1740309120,7.2,18:05:00,1740348300,18.08,10.88,1,1,2,2,-12,-3,,,,,,8,5.8,4,0,,,,
